Year,District,TotalCrimes,MostFrequentCrime,CrimeCount,DistrictIndex
2022.0,Central,17622,THEFT,4324,0.12381356466065829
2022.0,Devonshire,9498,THEFT,3454,0.03652041570775804
2022.0,Foothill,7819,THEFT,2619,0.021887342033956952
2022.0,Harbor,9133,THEFT,2113,0.08261365008794455
2022.0,Hollenbeck,8488,THEFT,2157,0.21762650407200315
2022.0,Hollywood,12486,THEFT,3460,0.418846403701587
2022.0,Mission,9236,THEFT,2938,0.12526993950120624
2022.0,N Hollywood,11149,THEFT,3577,0.18814213980597988
2022.0,Newton,11892,THEFT,2950,0.564095072779072
2022.0,Northeast,10135,THEFT,3194,0.1140984260391234
2022.0,Olympic,12007,THEFT,3103,0.9256746916879353
2022.0,Pacific,12965,THEFT,4556,0.1949895091417452
2022.0,Rampart,11160,THEFT,3062,0.9754181530890834
2022.0,Southeast,11668,ASSAULT,3113,0.5785588503632386
2022.0,Southwest,13343,THEFT,4074,0.49484790101787945
2022.0,Topanga,9426,THEFT,3332,0.0843707809263986
2022.0,Van Nuys,9661,THEFT,3128,0.21920790539447177
2022.0,West LA,10466,THEFT,3911,0.018424320383916788
2022.0,West Valley,10236,THEFT,3121,0.09265425063580641
2022.0,Wilshire,11120,THEFT,3968,0.4244109385454871
2023.0,77th Street,13843,ASSAULT,3842,0.5659243942383636
2023.0,Central,16848,ASSAULT,3841,0.11543750584800262
2023.0,Devonshire,9672,THEFT,3486,0.038391118808387525
2023.0,Foothill,7105,THEFT,1895,0.014169736398061721
2023.0,Harbor,9057,THEFT,2048,0.0814752307835563
2023.0,Hollenbeck,8344,THEFT,2007,0.2128662025897828
2023.0,Hollywood,11385,THEFT,3309,0.3761353158060851
2023.0,Mission,8931,THEFT,2534,0.11916540573521742
2023.0,N Hollywood,11487,THEFT,3629,0.19582757081924948
2023.0,Newton,11863,ASSAULT,2926,0.5625023319168669
2023.0,Northeast,9653,THEFT,3057,0.10557378214673109
2023.0,Olympic,11666,THEFT,2801,0.8975563101555081
2023.0,Pacific,13653,THEFT,5270,0.20863837669931037
2023.0,Rampart,11425,THEFT,3013,1.0
2023.0,Southeast,11208,ASSAULT,3203,0.5530832354656602
2023.0,Southwest,13030,THEFT,3358,0.4818060573185841
2023.0,Topanga,9594,THEFT,3664,0.08689678007763127
2023.0,Van Nuys,9892,THEFT,3323,0.22592847017928439
2023.0,West LA,10513,THEFT,4365,0.018646243778091435
2023.0,West Valley,9881,THEFT,2712,0.08741140239484137
2023.0,Wilshire,11636,THEFT,4277,0.44707474880926823
